
Symbol table '.dynsym' contains 2394 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   207: 000e4c10   185 FUNC    GLOBAL DEFAULT   12 ttyslot@@GLIBC_2.0
   208: 001bad24     4 OBJECT  GLOBAL DEFAULT   33 __rcmd_errstr@@GLIBC_2.0
   209: 000d6a00    95 FUNC    GLOBAL DEFAULT   12 wordfree@@GLIBC_2.1
   210: 000d7a60   132 FUNC    GLOBAL DEFAULT   12 posix_spawn_file_actions_@@GLIBC_2.2
   211: 000b0090    66 FUNC    GLOBAL DEFAULT   12 getdirentries@@GLIBC_2.0
   212: 0006e940    42 FUNC    GLOBAL DEFAULT   12 _IO_unsave_markers@@GLIBC_2.0
   213: 0006da90    55 FUNC    GLOBAL DEFAULT   12 _IO_default_uflow@@GLIBC_2.0
   214: 00031c80    53 FUNC    GLOBAL DEFAULT   12 __strtold_internal@@GLIBC_2.0
   215: 000f9890    86 FUNC    GLOBAL DEFAULT   12 __wcpcpy_chk@@GLIBC_2.4
   216: 001b71a4     4 OBJECT  GLOBAL DEFAULT   32 optind@@GLIBC_2.0
   217: 000809c0   177 FUNC    GLOBAL DEFAULT   12 __strcpy_small@@GLIBC_2.1.1
   218: 0002fd00    45 FUNC    GLOBAL DEFAULT   12 erand48@@GLIBC_2.0
   219: 000960a0    43 FUNC    WEAK   DEFAULT   12 wcstoul_l@@GLIBC_2.3
   220: 000ea560    66 FUNC    WEAK   DEFAULT   12 modify_ldt@@GLIBC_2.1
   221: 001bac24     4 OBJECT  GLOBAL DEFAULT   33 argp_program_version@@GLIBC_2.1
   222: 00073bc0    20 FUNC    GLOBAL DEFAULT   12 __libc_memalign@@GLIBC_2.0
   223: 000eba20    93 FUNC    GLOBAL DEFAULT   12 isfdtype@@GLIBC_2.0
   224: 000e3050   118 FUNC    GLOBAL DEFAULT   12 getfsfile@@GLIBC_2.0
   225: 00080b50    53 FUNC    GLOBAL DEFAULT   12 __strcspn_c1@@GLIBC_2.1.1
   226: 00080b90    66 FUNC    GLOBAL DEFAULT   12 __strcspn_c2@@GLIBC_2.1.1
   227: 0002fe50    36 FUNC    GLOBAL DEFAULT   12 lcong48@@GLIBC_2.0
   228: 000b1f50   156 FUNC    GLOBAL DEFAULT   12 getpwent@@GLIBC_2.0
   229: 00080be0   102 FUNC    GLOBAL DEFAULT   12 __strcspn_c3@@GLIBC_2.1.1
   230: 000cd730    48 FUNC    WEAK   DEFAULT   12 re_match_2@@GLIBC_2.0
